Case Number,Account Name,Person Type,message,Score,Review,Correct/Incorrect
TS001946941,LENOVO (UNITED STATES) INC.,Customer,"Hi Bharti,
?
I uploaded the file thru FTP. But it failed (PID 37105547) in test due to I guess the mismatched ISA/GS Sender/Receiver ID's. Could you please provide me a list of ISA/GS IDs for the partners below (production ID as below for your reference)?
?
Ingram Micro US: Prod ID 004919486US
Synnex US: Prod ID SYNNEXISG
Tech Data US: 0819405530A20
Ingram Micro CA: Prod ID 004919486CA
Synnex CA: ?
Tech Data CA: ?

Thanks,
Aaron
",,,
TS001385583,"Westwood Shipping Lines, Inc.",Customer,"I'm sorry.  The issue evidently was not clear to me, as I tested and it appeared to work fine.  

I now understand what the issue is and will get the file name changed.
",,,
TS001849059,"New Era Cap Co., Inc.",Customer,"Hi Glenna, it looks good. Please help to move it to production.

Remark: This change is for email report only. Thank you,
",,,
TS001575238,CEVA LOGISTICS,Customer,"<p>Good morning Carol,</p><p>We tested some scenarios and we still need some adjustments.</p><p></p><p>CTE pid 61285782 - 04/06/2019 12:15:19 - The logic failed instruction#&zwnj; 100, 101.&nbsp;The below code should have been executed: IF STSROU.RTMAWB != BLANK AND STSROU.RTDSCC != ""US"" Then map STSROU.RTORED last occurrence.</p><p></p><p>Output should be DTM}068}20190406}1100 instead of DTM}068}20190406}1028~</p><p>----------------------------------</p><p>ETD - hawb#&zwnj; C12938139~</p><p>CTE pid 61285930 - 04/06/2019 12:30:13 failed The logic Line instruction#&zwnj; 50</p><p>TD5}2}4}DL}}002}}ZZ}MIA~ should be IAH Port of exit instead of MIA</p><p>-----------------------------------------</p><p>Line instr#&zwnj; 163 - (HEXECMOD) change the mapping to harcode ""DELAY"" as instructed in the paper map doc.</p><p>&nbsp;DTM}ZZZ}20190406}1513}}UN}A42~ should be DTM}ZZZ}20190406}1513}}UN}DELAY~</p><p>------------------------</p><p>CTE pid 61283469 - 04/06/2019 10:50:06 failed to produce TD505 and 06</p><p>Sample: TD5}2}4}AA}}999~</p><p>I have added 'Else map STSHDR.HDDSAC' to be: TD5}2}4}AA}}999~ZZ}SGN~</p><p></p><p>Thank you.</p>",,,
TS002074724,Sigma-Aldrich Corporation,Customer,"Hi Manju,

Thank you. we will check and feedback you. Please note- the setup is for BIOCON.
Agrolab was just for your reference purpose. Please do not change anything for Agrolab.

Thank you,

Regards,
Gajendra
",,,
TS001385583,"Westwood Shipping Lines, Inc.",Customer,"I have changed the name of the outbound file to XML_WSL_ANSI315_HANKOOKROK[DATENNNNNNNNN].  I have tested it in our system and it goes out to IBM fine, but it is not being processed in CTE - I am sure that they failed.   I sent 11 messages.  Please change the name in your CTE system and see if they will process.  If so, I will do the same in Production.
",,,
TS002008284,"Anheuser-Busch Companies, LLC",Customer,"Thanks David .

We are good to close the ticket.

Regards,
Anjali
",,,
TS001529916,Tesla Motors,Customer,"Hi Albert,

TP has transmitted a dummy file in CTE on Turkey time at 01:37pm without any issues at their end. Attached the file for reference.
Please verify now.

Regards,
Arjun
",,,
TS002085408,Madhusudhanan Anandan's Account,Customer,"Hi Mike,
 
Thanks for the update. But client changed the path and configured the below two folders at their end.
 
\\ntb2bcontest01\sci\test\AmazonPOS\inbound
\\ntb2bcontest01\sci\test\AmazonPOS\stage\inbound.
 
Kindly update our folders accordingly and provide us the path in which we need to place the SLSRPT Transaction files.
Please note that this folder is only for AMAZON SLSRPT Folders.
 
Thanks,
Madhu
",,,
TS002107983,Micron Technology Inc,Customer,"Hi Team,

Thank you. Testing was successful. Kindly move the changes to Production.

Regards,
Snehal
",,,
